Codigo;Nome;Numero;;;;;;
EL;Ellinair;169;;;;;;
EK;EMIRATES;176;;;;;;
EK;EMIRATES (RIO);176;;;;;;
EM;EMPIRE AIRWAYS;?;;;;;;
UJ;EMPRESSA DE SERVICIOS MARITIMA;?;;;;;;
MQ;ENVOY AIR;?;;;;;;
E7;Equaflight;169;;;;;;
7H;ERA AVIATION;?;;;;;;
OV;ESTONIAN AIR;169;;;;;;
S8;ESTONIAN AVIATION;?;;;;;;
ET;ETHIOPIAN AIRLINES;71;;;;;;
EY;ETIHAD AIRWAYS;607;;;;;;
F7;Etihad Regional;169;;;;;;
RN;EURALAIR INTERNATIONAL;?;;;;;;
HH;EURO DIRECT AIRLINES;?;;;;;;
EE;EUROBERLIN FRANCE;?;;;;;;
GJ;EUROFLY;169;;;;;;
K2;EUROLOT S.A;169;;;;;;
Y6;EUROPE ELITE;?;;;;;;
QY;EUROPEAN AIR TRANSPORT;?;;;;;;
2H;EUROPEAN AIRWAYS;?;;;;;;
AWT;EUROPEBYAIR;117;;;;;;
EB;EUROPEBYAIR - TOWER TRAVEL BRASIL;?;;;;;;
JO;EUROSKY AIRLINES;?;;;;;;
9F;EUROSTAR;169;;;;;;
EW;EUROWINGS;220;;;;;;
BR;EVA AIRWAYS;169;;;;;;
E2;EVEREST AIR;?;;;;;;
X7;Exec Air Inc of Naples;169;;;;;;
NA;EXECUTIVE AIRLINES;?;;;;;;
FO;EXPEDITION AIRWAYS;?;;;;;;
9E;EXPRESS AIRLINES;?;;;;;;
EPR;EXPRESS AIRWAYS;169;;;;;;
EO;EXPRESS ONE INTERNATIONAL;169;;;;;;
EV;EXPRESSJET AIRLINES;?;;;;;;
N8;EXPRESSO AEREO;?;;;;;;
4X;F'AIRLINES;?;;;;;;
LK;FAIRLINES;?;;;;;;
IH;FALCON AVIATION;?;;;;;;
EF;FAR EASTERN AIR TRANSPORT CORP.;?;;;;;;
FN;fastjet;169;;;;;;
7V;Federal Airlines;169;;;;;;
FX;FEDEX;?;;;;;;
F8;FENIX AIRWAYS;?;;;;;;
PC;FIJI AIR;624;;;;;;
FJ;Fiji Airways;169;;;;;;
AY;FINNAIR OY;105;;;;;;
7F;FIRST AIR;169;;;;;;
3F;FIRST AMERICAN RAILWAYS;?;;;;;;
5H;Five Forty Aviation;169;;;;;;
FK;FLAMENCO AIRWAYS;?;;;;;;
IX;FLANDRE AIR;?;;;;;;
YC;FLIGHT WEST AIRLINES;?;;;;;;
RF;FLORIDA WEST;?;;;;;;
XZ;FLUGFELAG AUSTURLANDS HF.;?;;;;;;
FC;FLY CORPORATE;169;;;;;;
9H;FLY DAE;493;;;;;;
OJ;Fly Jamaica Airways;169;;;;;;
Z7;Flyafrica COM;169;;;;;;
BE;FLYBE;169;;;;;;
FZ;flydubai;169;;;;;;
F3;FLYING ENTERPRISE;?;;;;;;
KT;FLYKISS;169;;;;;;
XY;flynas;169;;;;;;
FYW;FLYWAYS LINHAS AÉREAS LTDA;777;;;;;;
A1;FLYWAYS LINHAS AÉREAS LTDA;777;;;;;;
HK;FOUR STAR AVIATION;?;;;;;;
ZU;FREEDOM AIR;?;;;;;;
F9;FRONTIER AIRLINES;422;;;;;;
2F;FRONTIER FLYING SERVICE;?;;;;;;
FH;FUTURA INTERNACIONAL;?;;;;;;
BS;GAMAIR LTD.;?;;;;;;
GA;GARUDA INDONESIAN;169;;;;;;
GT;GB AIRWAYS;?;;;;;;
A9;GEORGIAN AIRWAIYS;169;;;;;;
4U;GERMANWINGS;220;;;;;;
